image_id,png_name,bboxes

1257146,58c57ff6bc2601364077ac66.png,"[[1, 0.3349609375, 0.3765625, 0.099609375, 0.309375]]"

1257154,58c57ff6bc2601364077ac74.png,"[[1, 0.78662109375, 0.45, 0.1669921875, 0.6875]]"

1257374,58c58031bc260137bc4a7d82.png,"[[1, 0.45751953125, 0.384375, 0.1298828125, 0.346875]]"

1000155,58c58133bc260137e096a5e3.png,"[[1, 0.14697265625, 0.42421875000000003, 0.0498046875, 0.1421875], [1, 0.068359375, 0.409375, 0.029296875, 0.11875]]"

1000094,58c58133bc260137e096a580.png,"[[1, 0.30810546875, 0.40546875000000004, 0.0166015625, 0.0734375]]"
